sent,tom_level
"살다 보면 다양한 관계의 사람들과 갈등이 생기기도 하는데, 그럴 때마다 내가 참고 넘어가면 앞으로 계속 나를 무시할 것 같다는 생각이 들어 참고 넘어가기가 쉽지 않다.  ",0
남을 배려할 줄 아는 성숙한 사람이 되고 싶은데 나는 아직 사람이 덜 된 것 같다. ,0
항상 말로는 고치겠다고 하지만 지버릇 개못준다. ,1
좋게 말해도 될 텐데 꼭 저렇게 직원에게 욕을 하며 항의해야 하는 건지.. 내가 다 속상하였다. ,1
이젠 나에게 그만 도와달라고 하고 본인의 일은 본인이 스스로 해결해야 한다고 생각한다. ,1
회사 동료들에게 피해를 주게 될까봐 걱정된다. ,1
마스크를 끼고 다니긴 하지만 사람들을 만날 때 조금 불안하긴 하다. ,1
다른 사람들을 생각하지 않고 운전하는 모습을 보고 화가 나 그 사람에게 한마디 했더니 오히려 나에게 적반하장으로 욕을 했다. ,2
자신이 한 잘못은 그럴 수도 있지하며 합리화하며 대수롭지 않게 생각한다.  ,2
마음에도 없는 소리를 하며 나를 생각해주는 척하는 모습이 어이없었다. ,2
나한테라도 잘난 척을 해야겠고.. ,2
나이를 든 사람이라 그런지 상대방을 무시하는 모습이 보기 좋지 않았다. ,2
남편은 나를 가정부처럼 생각하는 것 같다,3
옆테이블에서 한소리 하니 할말이 없어졌는지 입을 다물었다. ,3
아들이 비대면 수업 때문에 학교를 가지 않다보니 친구를 만나지 못해 답답한가 보다.  ,3
서로를 생각하는 정도가 다르게 느껴져 속상하다. ,3
자기 때문에 내가 그만둔다는 것은 꿈에도 모르나보다. ,3
